id_unidade;nome;latitude;longitude;total_retirado
335;UBS SÃO MATEUS - NAIR ALVES DE REZENDE NORIMBENI;-23,59987;-46,483078;628489
199;UBS JARDIM LÍDIA;-23,666041;-46,762719;626201
356;UBS VILA CAIÚBA;-23,399928;-46,751123;625001
53;AMA/UBS VILA SONIA;-23,597638;-46,734804;621662
318;UBS RECANTO VERDE SOL;-23,617488;-46,422112;619285
307;UBS PARQUE SÃO LUCAS;-23,596283;-46,546275;619076
274;UBS NASCER DO SOL;-23,595179;-46,412514;617806
192;UBS JARDIM JAPÃO;-23,505844;-46,588065;617292
150;UBS JARDIM CAMPINAS;-23,771606;-46,712544;617193
148;UBS JARDIM BOA VISTA;-23,584116;-46,791236;616215
293;UBS PARQUE EDU CHAVES;-23,477272;-46,568751;614256
354;UBS VILA BERTIOGA - DOMINGOS DELASCIO;-23,57093;-46,575467;613593
80;UBS CARLOS GENTILE DE MELO;-23,588657;-46,396489;611030
210;UBS JARDIM NOSSA SENHORA DO CARMO;-23,577766;-46,48126;608114
9;AMA/UBS JARDIM BRASILIA;-23,554747;-46,491944;607305
417;UBS VILA SABRINA - DR. CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA;-23,492425;-46,572817;606260
179;UBS JARDIM GUAIRACÁ;-23,599765;-46,539917;604207
121;UBS DRA. ILZA WELTMAN HUTZLER;-23,476667;-46,659038;601869
343;UBS VARGINHA;-23,78522;-46,683916;601346
315;UBS PROF. MILTON SANTOS;-23,628802;-46,646296;600427
10;AMA/UBS JARDIM CAPELA;-23,730482;-46,788771;599303
423;UBS VILA ZATT;-23,47707;-46,711546;599106
251;UBS JARDIM VALQUIRIA;-23,658143;-46,775156;595478
52;AMA/UBS VILA SILVIA;-23,491486;-46,50436;588905
50;AMA/UBS VILA PIAUÍ;-23,502392;-46,761177;587879
397;UBS VILA NATAL;-23,763955;-46,707403;582527
124;UBS ENGENHEIRO GOULART - DR. JOSÉ PIRES;-23,500315;-46,5172;582304
204;UBS JARDIM MARILIA;-23,56266;-46,492422;579262
135;UBS HUMAITÁ - DR. JOÃO DE AZEVEDO LAGE;-23,557223;-46,641943;578920
183;UBS JARDIM HELENA;-23,479272;-46,414694;578034
94;UBS CIDADE KEMEL;-23,504193;-46,366966;577128
38;AMA/UBS SÍTIO DA CASA PINTADA;-23,510046;-46,446568;576104
371;UBS VILA EMA - DR FUAD KASSAB;-23,5818209;-46,5469837;575217
6;AMA/UBS ELISIO TEIXEIRA LEITE;-23,446305;-46,714341;574598
255;UBS JAÇANÃ - DR. SEBASTIÃO GABRIEL SAYAGO DE LAET;-23,474601;-46,580464;568743
299;UBS PARQUE NOVO MUNDO II;-23,511999;-46,565792;566760
16;AMA/UBS JARDIM IPANEMA;-23,446341;-46,749058;565305
100;UBS CIDADE TIRADENTES - LUIS MARANHÃO;-23,586919;-46,406914;565201
249;UBS JARDIM TRÊS CORAÇÕES;-23,769673;-46,68463;557323
302;UBS PARQUE PERUCHE;-23,497668;-46,65475;557101
425;UBS ÁGUA FUNDA;-23,630363;-46,626056;556590
142;UBS ITAQUERA;-23,539456;-46,455397;556268
217;UBS JARDIM PARANAPANEMA;-23,69334;-46,780739;556172
421;UBS VILA SANTO ESTEVÃO - WOADY JORGE KALIL;-23,549138;-46,561071;555299
95;UBS CIDADE LIDER;-23,55418;-46,465023;555177
67;UBS BELENZINHO - MARCUS WOLOSKER;-23,537251;-46,59554;554086
396;UBS VILA MORAES - JOÃO PAULO BOTELHO VIEIRA;-23,633518;-46,612541;553916
98;UBS CIDADE PEDRO JOSE NUNES;-23,50099;-46,462421;553776
402;UBS VILA NOVA MANCHESTER - DR. ARLINDO GENNARI;-23,54651;-46,531881;552051
338;UBS TEOTONIO VILELA;-23,605914;-46,503437;550714
62;UBS ALTO DE PINHEIROS - DR SUEL ABUJAMRA;-23,537596;-46,721961;546685
162;UBS JARDIM DA CONQUISTA II;-23,606582;-46,442832;546485
342;UBS UNIÃO DE VILA NOVA;-23,483441;-46,45933;544967
378;UBS VILA GRANADA - DR ALFREDO FERREIRA PAULINO FILHO;-23,523592;-46,508683;543441
400;UBS VILA NOVA CURUÇÁ;-23,516246;-46,426579;539608
114;UBS DR. EDUARDO ROMANO RESCHILIAN;-23,638629;-46,606148;539490
34;AMA/UBS PARQUE SANTO ANTONIO;-23,657198;-46,755887;538504
37;AMA/UBS SÃO VICENTE DE PAULA;-23,590937;-46,608997;538434
193;UBS JARDIM JAQUELINE;-23,594884;-46,75181;538027
1;AMA/UBS AGUIA DE HAIA;-23,522049;-46,469253;537866
240;UBS JARDIM SOUZA;-23,688776;-46,748299;537355
108;UBS DOM JOÃO NERY;-23,522795;-46,399815;536902
131;UBS GUAIANASES II;-23,545666;-46,41555;536404
151;UBS JARDIM CAMPOS;-23,512347;-46,408978;535879
43;AMA/UBS VILA IMPÉRIO;-23,672923;-46,649436;535842
7;AMA/UBS JARDIM ALFREDO;-23,681717;-46,738937;533540
20;AMA/UBS JARDIM PAULISTANO;-23,4614893;-46,7090157;533362
136;UBS IAÇAPE - JARDIM PLANALTO;-23,610489;-46,509843;532449
294;UBS PARQUE ENGENHO II;-23,661211;-46,785958;532396
49;AMA/UBS VILA PEREIRA BARRETO;-23,487789;-46,713389;532204
250;UBS JARDIM UMUARAMA;-23,661943;-46,669702;528684
368;UBS VILA DIONISIA;-23,46509;-46,661781;527943
41;AMA/UBS VILA CALIFORNIA - ZEILIVAL BRUSCAGIN;-23,605165;-46,555188;525721
376;UBS VILA FORMOSA I - DR. ANTONIO DA SILVEIRA E OLIVEIRA;-23,562265;-46,552358;525173
2;AMA/UBS AMERICANOPOLIS;-23,664974;-46,644203;524442
189;UBS JARDIM IPORÃ;-23,7832688;-46,7125378;523409
311;"UBS PONTE RASA - DR. CARLOS OLIVALDO DE SOUZA LOPES MUNIZ ";-23,515069;-46,48304;522969
78;UBS CAMPO LIMPO;-23,636955;-46,763805;522670
226;UBS JARDIM ROMANO VILA ITAIM;-23,486494;-46,392531;522391
54;AMA/UBS WAMBERTO DIAS DA COSTA;-23,468866;-46,603249;522056
347;UBS VILA ALPINA - DR. HERMINIO MOREIRA;-23,596516;-46,567697;521143
288;UBS PARQUE BOA ESPERANÇA;-23,594938;-46,448577;520295
154;UBS JARDIM CLIPER - ROCILDA SOARES ALVES SILVA;-23,723518;-46,70575;519382
174;UBS JARDIM ETELVINA;-23,530377;-46,421666;519078
191;UBS JARDIM IVA;-23,584218;-46,516647;519065
190;UBS JARDIM IV CENTENÁRIO;-23,590095;-46,499921;517595
146;UBS JARDIM AURORA;-23,536433;-46,417627;517275
360;UBS VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;-23,553041;-46,52458;516626
209;UBS JARDIM NITERÓI;-23,682603;-46,667903;515843
87;UBS CHÁCARA DO CONDE;-23,77085;-46,705176;515567
284;UBS PARAISÓPOLIS III;-23,617073;-46,719822;515041
276;UBS NOSSA SENHORA DO BRASIL - ARMANDO DARIENZO;-23,562487;-46,649258;514546
308;UBS PARQUE SÃO RAFAEL - DRA. ORA ROSEN;-23,625432;-46,469475;513587
42;AMA/UBS VILA CLARA;-23,672351;-46,637515;512876
123;UBS ENCOSTA NORTE - LUIZ JOSE SANTOS;-23,502486;-46,380366;512352
297;UBS PARQUE MARIA DOMITILA;-23,488629;-46,738275;510964
361;UBS VILA CHABILÂNDIA;-23,537402;-46,404899;508545
409;UBS VILA PROGRESSO;-23,515171;-46,433226;506198
395;UBS VILA MARIANA - DIOGO NOMURA;-23,595626;-46,643264;504165
355;UBS VILA BORGES;-23,587241;-46,770457;503928
177;UBS JARDIM FONTALIS;-23,438958;-46,57138;503380
321;UBS REUNIDAS II;-23,604961;-46,520894;503359
27;AMA/UBS LAUZANE PAULISTA;-23,475219;-46,641714;502624
182;UBS JARDIM GUARUJÁ;-23,692477;-46,787996;502080
247;UBS JARDIM SÃO SAVÉRIO - AURELIO MELLONE;-23,657244;-46,614249;500571
316;UBS RECANTO CAMPO BELO;-23,792642;-46,738522;499461
398;UBS VILA NIVI;-23,477844;-46,587933;498738
104;UBS COSTA MELO;-23,512635;-46,514019;497462
201;UBS JARDIM MAGDALENA;-23,667016;-46,792481;496953
340;UBS TRÊS PONTES - SRA FLORISVALDA NASCIMENTO DE SOUZA;-23,480836;-46,380551;494071
256;UBS JOAQUIM ANTONIO EIRADO;-23,503558;-46,631657;493723
363;UBS VILA COSMOPOLITA;-23,565156;-46,423261;492774
133;UBS GUARANI VARGAS - ARNALDO FARIA DE SÁ;-23,633742;-46,636674;492608
32;AMA/UBS PARQUE BRISTOL;-23,649224;-46,610337;491891
261;UBS JOVA RURAL;-23,454752;-46,579719;491430
387;UBS VILA IZOLINA MAZZEI;-23,493225;-46,600931;490537
406;UBS VILA PENTEADO - FATIMA DE JESUS VIANA ROSA;-23,466897;-46,680762;485098
3;AMA/UBS ANHANGUERA;-23,489099;-46,759182;484203
245;UBS JARDIM SÃO NICOLAU;-23,529459;-46,476227;483659
221;UBS JARDIM REIMBERG - NAIR NUNES DA SILVA;-23,74966;-46,69754;483550
137;UBS IGUAÇU - MARIA JOSE MARIANO DA SILVA;-23,612971;-46,522875;481804
306;UBS PARQUE SANTO ANTONIO II;-23,661582;-46,749341;481104
313;UBS PRIMEIRO DE OUTUBRO;-23,530463;-46,397926;480211
399;UBS VILA NOSSA SENHORA APARECIDA;-23,53434;-46,442818;479565
110;UBS DONA ADELAIDE LOPES;-23,498228;-46,677682;477034
380;UBS VILA GUILHERME;-23,516271;-46,605441;476523
113;UBS DR. AUGUSTO LEOPOLDO AYROSA GALVÃO;-23,470331;-46,673908;476304
413;UBS VILA REGINA;-23,530319;-46,458847;475865
263;UBS LUAR DO SERTÃO;-23,692752;-46,794364;475559
333;UBS SÃO CARLOS - GUAIANASES;-23,557899;-46,412888;475123
411;UBS VILA RAMOS - DR. LUIZ AUGUSTO DE CAMPOS;-23,520517;-46,46385;473082
403;UBS VILA NOVA YORK;-23,578849;-46,509869;472531
442;UPA VILA MARIANA;-23,59583;-46,64269;472273
359;UBS VILA CARMOSINA;-23,549788;-46,448712;472171
14;AMA/UBS JARDIM ELBA - HUMBERTO GASTÃO BODRA;-23,621251;-46,509238;469691
55;AMA/UBS ÁGUA RASA - DR. MARCOS ANDRADE CORSATO;-23,55364;-46,58018;469313
238;UBS JARDIM SINHA;-23,593613;-46,51162;468663
405;UBS VILA PARANAGUÁ;-23,494931;-46,474236;467414
280;UBS PADRE JOSE DE ANCHIETA;-23,552425;-46,487562;467356
233;UBS JARDIM SAPOPEMBA - PROF DR HUMBERTO DELBONI FILHO;-23,611647;-46,492935;466988
218;UBS JARDIM PENHA;-23,509317;-46,497103;466123
24;AMA/UBS JARDIM TIETE I - OSCAR PEREIRA DA SILVA;-23,598728;-46,494912;465937
310;UBS PEDRO DE SOUZA CAMPOS;-23,503174;-46,483967;464685
152;UBS JARDIM CELESTE;-23,656726;-46,741376;462712
119;UBS DR. SÉRGIO CHADDAD;-23,743164;-46,711162;462598
257;UBS JORDANÓPOLIS;-23,7297666;-46,7036377;461473
275;UBS NITRO OPERÁRIA - PAULO FELDMAN;-23,494236;-46,436474;461194
230;UBS JARDIM SANTA MARIA;-23,550796;-46,505823;460880
213;UBS JARDIM OLINDA - ZELIA PEREIRA SANTOS;-23,629335;-46,754536;460239
163;UBS JARDIM DA SAÚDE - NEUSA ROSALIA MORALES;-23,612826;-46,616326;459835
389;UBS VILA JAGUARA;-23,513676;-46,746483;458306
70;UBS BRAS - DR. MANOEL SALDIVA NETO;-23,543594;-46,614772;454356
379;UBS VILA GUACURI - CICERO SERGIO CAVALCANTE;-23,702719;-46,635888;452724
63;UBS ALTO DO UMUARAMA;-23,646152;-46,772443;452561
236;UBS JARDIM SILVA TELLES;-23,500383;-46,408706;452282
418;UBS VILA SANTA CATARINA;-23,653333;-46,652384;452197
223;UBS JARDIM RINCÃO;-23,435141;-46,727753;451864
232;UBS JARDIM SAO CARLOS;-23,5088828;-46,4728396;451084
169;UBS JARDIM EDITE - GERONCIO HENRIQUE NETO;-23,613259;-46,694319;450655
105;UBS CRUZ DAS ALMAS;-23,483679;-46,703152;449860
281;UBS PARADA XV DE NOVEMBRO;-23,527374;-46,435541;449818
212;UBS JARDIM NOVO PANTANAL - PEDREIRA;-23,699508;-46,64017;449271
242;UBS JARDIM SÃO BERNARDO;-23,753871;-46,698509;448170
377;UBS VILA FORMOSA II;-23,569378;-46,539056;447453
208;UBS JARDIM NAKAMURA;-23,698963;-46,773577;447296
346;UBS VILA ALBERTINA - DR OSVALDO MARÇAL;-23,449162;-46,610174;444955
375;UBS VILA FORMOSA - COMENDADOR JOSÉ GONZALEZ;-23,570168;-46,534689;444395
407;UBS VILA PIRITUBA;-23,482599;-46,747013;443074
317;UBS RECANTO DOS HUMILDES;-23,41516;-46,751496;442815
391;UBS VILA MAGGI;-23,455517;-46,716436;441248
401;UBS VILA NOVA GALVÃO - SÔNIA REGINA CAMPANELLI;-23,451464;-46,572609;439936
264;UBS LUIZ ERNESTO MAZZONI;-23,644904;-46,593056;438226
26;AMA/UBS JOSÉ BONIFÁCIO I;-23,542839;-46,431168;437005
127;UBS FAZENDA DA JUTA II;-23,622536;-46,487678;436883
